locate,symbol,prints,unpriced,min_tick,max_tick,shares,vwap_micro
9610,ROE,22,0,397400,398700,2362,397883488569
1048,BANC-F,4,0,255000,255400,496,255238709677
11321,TUG,4,0,453500,457600,419,455977088305
8079,NXTS,18,0,44000,45500,1285,44455252918
7717,NEUP,53,0,46800,49600,8752,48020852376
11159,TPFG,3,0,252500,252500,717,252500000000
886,AUSF,8,0,482300,484800,473,483481395348
7128,MFICL,10,0,253600,253900,5043,253694765020
3041,DLN,82,0,946800,950500,8545,948766729081
8033,NVOH,4,0,246500,247800,211,246565876777
4889,GQI,7,0,582900,583300,1354,583072747415
7058,MDLV,2,0,307500,308500,157,308136942675
10284,SMRI,2,0,385100,386800,68,385200000000
5245,HMYY,7,0,71300,71800,182,71523076923
8490,PBMY,1,0,309200,309200,100,309200000000
8492,PBOC,1,0,303300,303300,100,303300000000
3463,ELCV,4,0,308100,308800,264,308478787878
7706,NEON,130,0,16400,16700,8328,16432540826
6877,LVIG,3,0,976900,977400,269,977197397769
8158,OEC,709,0,69000,71400,36534,70010647615
5457,IBCB,2,0,248600,248800,800,248650000000
5032,GVIP,16,0,1727600,1732800,311,1727683601286
10140,SIOO,20,0,198300,199200,794,198512846347
4348,FSCC,1,0,338700,338700,200,338700000000
1452,BLRK,4,0,99600,99600,688,99600000000
11725,VEEA,62,0,5550,6105,17236,5741642898
9433,REX,330,0,489800,503400,8358,498056963388
9894,SCHO,44,0,241300,241300,16265,241300000000
10912,TELA,56,0,8780,9899,6856,9020317969
639,APO-A,59,0,684600,694300,716,691884357541
7786,NIPG,29,0,5011,5350,901,5064397336
2648,CTNM,763,0,134000,138800,28093,136026625849
6972,MAYM,3,0,328500,328500,300,328500000000
10005,SENEA,753,0,1365500,1401700,7795,1388262475946
769,ASG,150,0,51800,52400,3814,52021106449
11042,TLG,4,0,274600,275500,1610,275133540372
11434,UDIV,1,0,592500,592500,100,592500000000
7327,MOLN,5,0,37300,37500,36,37472222222
2900,DEXC,3,0,761900,764800,200,763060000000
5478,IBHF,8,0,227000,227200,1149,227100000000
4023,FFA,4,0,224700,225900,306,225214379084
7193,MIMI,49,0,29800,32000,4915,30520162767
9877,SCE-M,28,0,246000,247100,3067,246751124877
11561,USB-P,7,0,221300,222100,616,221563149350
1288,BGLWW,3,0,2772,2900,300,2857333333
7561,MYMG,1,0,246700,246700,83,246700000000
9075,PXE,30,0,371300,376300,3270,372977614678
192,ADSEW,45,0,4700,5500,4136,5170093326
10465,SPRE,15,0,209700,210500,7665,210227436399
3539,ENDW,8,0,335700,336600,1190,336334873949
3879,FBK,623,0,508100,515100,20642,512458477860
2868,DDX,1,0,248700,248700,1,248700000000
9367,RDFI,2,0,232800,233700,200,233250000000
8590,PEJ,9,0,589000,591900,2132,589095356472
3509,EMGF,20,0,698000,702600,1308,700125764525
8712,PJIO,15,0,615400,619100,737,617627408412
3712,ETY,196,0,148000,149300,11532,148620750953
7245,MLECW,93,0,151,251,151831,213627217
6347,KFS,69,0,106100,107800,1862,107048174006
9475,RGR,179,0,394500,400400,2740,396350766423
4310,FPRO,7,0,242100,242700,771,242431517509
3388,EFAS,2,0,218600,218800,16,218787500000
5946,ITDG,3,0,410000,410800,107,410748598130
5796,INRO,1,0,354200,354200,100,354200000000
11146,TOUR,68,0,61200,62000,5085,61540766961
7891,NPT,56,0,12500,16800,11636,14131797868
6102,JDVL,4,0,293200,293600,1006,293400000000
8,AACBR,2,0,2500,2800,15,2720000000
8740,PLMKW,1,0,6200,6200,10,6200000000
4812,GNLN,25,0,37400,40000,2257,38397784669
2467,CPK,297,0,1246900,1277500,5387,1259092500464
10201,SLGN,1566,0,365300,379100,49924,372022223780
11737,VENU,224,0,36300,38400,8344,37187380153
2475,CPNX,4,0,151000,154700,19,152200000000
8280,OPPE,2,0,557000,557400,80,557100000000
6492,KTF,12,0,89800,90200,3182,89935449402
6430,KOMP,25,0,679000,682900,740,680181081081
3343,EDBLW,1,0,899,899,100,899000000
7851,NNY,6,0,84100,84500,785,84371464968
2921,DFGX,337,0,522800,525300,19671,523517172487
3610,EQBK,292,0,442300,449300,7871,444457553042
1813,BYFC,1,0,102600,102600,2,102600000000
12086,WFC-L,16,0,11761700,11820600,235,11792798723404
5456,IBCA,6,0,253600,253700,623,253632102728
9163,QIDX,1,0,112400,112400,100,112400000000
8614,PFDE,1,0,273600,273600,100,273600000000
5810,INTS,53,0,46000,48500,12750,48197882352
9082,PXS,69,0,43100,45900,5216,44125690184
5978,IVF,28,0,15600,16500,2542,16123328088
4144,FLCA,1,0,512100,512100,100,512100000000
3753,EVMN,432,0,220500,229900,19274,226019342118
12020,WBIY,1,0,334100,334100,65,334100000000
2304,CMPR,1153,0,927500,953100,54091,942045168327
964,AWR,472,0,756700,772200,11644,763760632085
5859,IPM,5,0,18900,19400,112,19382142857
9753,RYET,3,0,9775,9775,75,9775000000
669,AQEC,1,0,240600,240600,100,240600000000
10942,TFC-R,27,0,183400,184000,4018,183880288700
7761,NHI,933,0,742700,749900,68293,746243916653
6377,KKRS,9,0,164500,165200,800,164962500000
8443,PASG,123,0,50900,53600,12209,52105659759
4421,FTOH,27,0,83200,83200,2689,83200000000
10157,SJ,26,0,10400,13000,12565,12659729407
7917,NRXS,36,0,77100,80900,1795,79078217270
5956,ITM,67,0,463300,464300,4957,463819265684
7538,MXI,16,0,1094300,1104300,445,1097887191011
7400,MSBIP,12,0,253300,254200,597,253883919597
4496,FXZ,8,0,786600,792300,1057,788870577105
7182,MI,14,0,1845,1994,495,1940082828
4358,FSHPR,22,0,1143,1700,1323,1457518518
3715,EUDA,19,0,145600,149000,1234,146875040518
4971,GSOL,121,0,66200,67200,81888,66912313159
3747,EVI,67,0,161300,169800,1615,167887739938
8088,NYSX,3,0,1222200,1225300,30,1222820000000
8250,ONL,253,0,28800,29500,9781,29153072282
4367,FSMD,46,0,486400,490400,3757,487612643066
8576,PDX,13,0,215300,218500,728,216690796703
3378,EEMV,54,0,713000,717200,1747,715680767029
6763,LOB,457,0,354100,357700,12906,355968456531
2363,CNYA,11,0,371000,371600,981,371575229357
5182,HFWA,2866,0,258500,263300,95494,260448219783
5351,HUBCW,657,0,97,390,1906946,229293721
12328,XIDV,1,0,377400,377400,200,377400000000
2055,CEPV,61,0,102500,102700,5044,102612252180
3078,DNL,2,0,433600,433600,400,433600000000
795,ASPSW,2,0,4000,4000,900,4000000000
11068,TMB,16,0,253200,253600,1087,253396320147
8162,OESX,21,0,93100,96000,621,93703381642
6820,LQTI,30,0,192200,192400,2954,192213811780
5647,IGRO,24,0,870900,874300,621,872573107890
5208,HIO,45,0,35600,36000,9503,35811648952
5503,IBMP,2,0,253300,253400,536,253306716417
9850,SBSI,249,0,316700,325800,5299,318822438195
7006,MBSX,3,0,259700,259700,146,259700000000
8473,PBEU,7,0,295200,296000,1234,295313533225
8223,OMSE,1,0,45300,45300,100,45300000000
5117,HCM,66,0,124800,126900,2522,125682632831
1327,BIAF,145,0,18800,19500,13210,19013088569
5750,INCR,3,0,8200,8300,153,8233986928
5330,HTB,185,0,452700,457200,3562,454139781021
6501,KTWOU,2,0,100900,100900,103,100900000000
10417,SPDV,1,0,377300,377300,2,377300000000
144,ACTS,4,0,272100,274300,2800,273482142857
286,AGM-G,9,0,174800,176000,702,175882763532
10559,SSBI,8,0,135000,136100,214,135740186915
4089,FIDI,7,0,280500,280500,1000,280500000000
5044,GXC,7,0,949500,950400,410,949960975609
11050,TLPH,18,0,8388,8804,3096,8593967700
777,ASIX,545,0,213200,217900,13177,215690521362
